nama_usaha,jumlah_menu,gambar_menu,apakah_menjual_minuman,apakah_menjual_makanan,jumlah_review,rating,rata-rata_harga_makanan_utama,Promo_ongkir(goplus),jam_buka,lokasi,rating_gmaps,Sosial_media,jumlah_ulasan_gmaps,menu_utama,durasi_oprasional,Kecamantan
Cafenaria,50,Foto_Sendiri,Ya,Ya,600,4.3,Medium,Ya,10:00,Bandung,4.2,Ya,1800.0,Ayam,12.0,Sukajadi
Sydwic,38,Foto_Sendiri,Ya,Ya,950,4.8,Medium,Ya,8:00,Bandung,4.7,Ya,3200.0,Roti,12.0,Bandung Wetan
Warung Nasi Ibu Imas,30,Foto_Sendiri,Ya,Ya,2200,4.6,Low,Tidak,7:00,Bandung,4.5,Ya,3500.0,Ayam,12.0,Regol
Roti Gempol,10,Foto_Sendiri,Ya,Ya,1700,4.5,Low,Tidak,7:00,Bandung,4.6,Ya,4800.0,Roti,10.0,Sumur Bandung
Two Hands Full,42,Foto_Sendiri,Ya,Ya,1300,4.5,High,Ya,7:00,Bandung,4.4,Ya,3900.0,Telur,14.0,Sukajadi
Karnivor Restaurant,70,Foto_Sendiri,Ya,Ya,2500,4.4,Very High,Ya,11:00,Bandung,4.4,Ya,14000.0,Steak,12.0,Bandung Wetan
One Eighty Coffee & Music,65,Foto_Sendiri,Ya,Ya,4000,4.6,High,Ya,8:00,Bandung,4.5,Ya,19000.0,Pasta,14.0,Coblong
Selasar Sunaryo Art Space,30,Foto_Sendiri,Ya,Ya,700,4.5,High,Tidak,10:00,Bandung,4.6,Ya,6500.0,Kopi,8.0,Cibeunying Kaler
Dago Bakery Punclut,50,Foto_Sendiri,Ya,Ya,2800,4.3,High,Tidak,9:00,Bandung,4.2,Ya,15000.0,Roti,12.0,Lembang
Toko Kopi Djawa,20,Foto_Sendiri,Ya,Ya,1900,4.7,Medium,Ya,8:00,Bandung,4.6,Ya,8900.0,Kopi,14.0,Sumur Bandung
Warung Steak & Shake,40,Foto_Sendiri,Ya,Ya,1800,4.4,Medium,Ya,11:00,Bandung,4.5,Ya,6700.0,Steak,11.0,Bandung Wetan
Hummingbird Eatery,60,Foto_Sendiri,Ya,Ya,1600,4.5,Very High,Ya,7:00,Bandung,4.5,Ya,6200.0,Nasi,16.0,Bandung Wetan
Giggle Box,55,Foto_Sendiri,Ya,Ya,900,4.2,Medium,Ya,10:00,Bandung,4.3,Ya,2100.0,Pasta,12.0,Bandung Wetan
Congo Gallery & Cafe,48,Foto_Sendiri,Ya,Ya,1100,4.6,Very High,Tidak,10:00,Bandung,4.5,Ya,8300.0,Sop,13.0,Cibeunying Kaler
D'Pakar Cafe,33,Foto_Sendiri,Ya,Ya,1300,4.4,Medium,Tidak,9:00,Bandung,4.4,Ya,7400.0,Kopi,9.0,Cimenyan
Boemi Mitoha,40,Foto_Sendiri,Ya,Ya,880,4.7,Medium,Ya,10:00,Bandung,4.6,Ya,2900.0,Nasi,11.0,Cihapit
Lomie Imam Bonjol,10,Foto_Sendiri,Ya,Ya,950,4.6,Medium,Tidak,9:00,Bandung,4.5,Tidak Ada,2300.0,Beragam,10.0,Coblong
Seblak Sultan,15,Foto_Sendiri,Tidak,Ya,1200,4.8,Medium,Ya,11:00,Bandung,4.7,Ya,3400.0,Pasta,10.0,Bandung Wetan
